feature,importance
categorical__sprint_id_S340,0.0
categorical__sprint_id_S3391,0.0
categorical__sprint_id_S3393,0.0
categorical__sprint_id_S3394,0.0
categorical__sprint_id_S3395,0.0
categorical__sprint_id_S3396,0.0
categorical__sprint_id_S3397,0.0
categorical__sprint_id_S3398,0.0
categorical__sprint_id_S34,0.0
categorical__sprint_id_S3400,0.0
categorical__sprint_id_S3413,0.0
categorical__sprint_id_S3401,0.0
categorical__sprint_id_S3405,0.0
categorical__sprint_id_S3406,0.0
categorical__sprint_id_S3408,0.0
categorical__sprint_id_S3409,0.0
categorical__sprint_id_S341,0.0
categorical__sprint_id_S3410,0.0
categorical__sprint_id_S3411,0.0
categorical__sprint_id_S3318,0.0
categorical__sprint_id_S3316,0.0
categorical__sprint_id_S344,0.0
categorical__sprint_id_S3269,0.0
categorical__sprint_id_S3242,0.0
categorical__sprint_id_S3243,0.0
categorical__sprint_id_S3245,0.0
categorical__sprint_id_S3246,0.0
categorical__sprint_id_S3247,0.0
categorical__sprint_id_S3248,0.0
categorical__sprint_id_S325,0.0
categorical__sprint_id_S3250,0.0
categorical__sprint_id_S3251,0.0
categorical__sprint_id_S3252,0.0
categorical__sprint_id_S3253,0.0
categorical__sprint_id_S3258,0.0
categorical__sprint_id_S326,0.0
categorical__sprint_id_S3261,0.0
categorical__sprint_id_S3262,0.0
categorical__sprint_id_S3263,0.0
categorical__sprint_id_S3265,0.0
categorical__sprint_id_S3266,0.0
categorical__sprint_id_S3267,0.0
categorical__sprint_id_S3241,0.0
categorical__sprint_id_S324,0.0
categorical__sprint_id_S3237,0.0
categorical__sprint_id_S3223,0.0
categorical__sprint_id_S3216,0.0
categorical__sprint_id_S3217,0.0
categorical__sprint_id_S3218,0.0
categorical__sprint_id_S3219,0.0
categorical__sprint_id_S322,0.0
categorical__sprint_id_S3220,0.0
categorical__sprint_id_S3221,0.0
categorical__sprint_id_S3222,0.0
categorical__sprint_id_S3226,0.0
categorical__sprint_id_S3236,0.0
categorical__sprint_id_S3227,0.0
categorical__sprint_id_S3228,0.0
categorical__sprint_id_S3229,0.0
categorical__sprint_id_S323,0.0
categorical__sprint_id_S3232,0.0
categorical__sprint_id_S3233,0.0
categorical__sprint_id_S3234,0.0
categorical__sprint_id_S3235,0.0
categorical__sprint_id_S3268,0.0
categorical__sprint_id_S327,0.0
categorical__sprint_id_S3315,0.0
categorical__sprint_id_S3270,0.0
